gene	mbcy	mcgo	nbco
PCDHGA3	-0.26	0.45	-0.07
PCMTD1	0.11	-0.19	0.23
PDE4C	0.18	0.3	0
PEX26	0.4	-0.27	0.61
PFKFB3	0.14	-0.06	0.06
PHPT1	0.12	0.56	0.22
PLEKHB2	-0.12	-0.35	0.11
PLXDC1	0	0.44	0.01
POLR2A	0.38	-0.03	1.59
POM121	-0.08	-0.13	-0.15
POTEE	-0.03	0	-0.33
PPID	0.99	0.43	0.67
PRIM1	0.01	0.1	0
PRKRA	-0.02	-0.58	-0.07
PRMT10	-0.3	0.17	-0.4
PTGR2	0.13	-0.22	0.13
PTPN11	-0.09	-0.5	-0.23
RABIF	0.15	0.48	0.08
RASGRP1	0.12	-0.11	0.11
RBM25	0.22	-0.11	0.11
REST	-0.18	0.01	-0.19
RMND5A	-0.37	-0.26	-0.22
RNF103	-0.18	-0.84	-0.09
RPS11	-0.19	0.67	-0.55
RPS29	-0.4	-0.66	-0.3
RPS2P32	0.05	0.44	0.01
RSF1	-0.08	-0.31	-0.07
SAA1	-0.12	0.4	-0.21
SAMD1	0.02	0.47	0.16
SCARB1	0.06	0.44	0.18
SEC23A	0.03	-0.07	-0.07
SET	0.5	-0.04	0.38
SETD2	-0.12	-0.46	0.06
SFPQ	0.95	-0.25	1.06
SFRS18	0.28	0.07	0.42
SGPL1	0.14	-0.13	-0.39
SIRPB1	-0.02	0.34	0.04
SLC17A7	0.55	0.85	0.78
SLC2A5	-0.19	-0.32	0.19
SLC47A1	0.25	0.01	0.25
SLC6A4	-0.09	-0.06	-0.11
SMAD3	-0.41	-0.84	-0.53
SMC1A	-0.15	-0.61	-0.07
SMG1	0.3	-0.05	-0.28
SNHG5	-0.76	0.18	-0.45
SNRPA	0.17	0.46	0
SPATA16	0.08	-0.4	0.22
SPATC1L	0.39	1	0.33
SPN	-0.14	0.12	0.47
SRSF1	0.46	-0.15	0.5
SUMF2	-0.11	0.58	-0.06
TEX36	-0.06	0.8	0.03
THBS1	-0.8	-0.82	-0.42
TIGD6	-0.08	0.14	-0.08
TIMM9	-0.17	-0.6	-0.13
TLX1	0.04	0.78	0.14
TM9SF4	-0.16	-0.59	-0.1
TMEM201	1.17	0.44	1.37
TMUB2	0.04	0.01	-0.32
TPM4	-0.73	-1.08	-0.02
TRMT12	-0.17	0.35	-0.3
TSACC	0.82	1.78	1.26
TTC17	0.11	-0.06	0.14
TTC7B	-0.4	-0.52	-0.11
TTTY6	-0.09	0.37	-0.22
TUBA1C	-1.02	-0.9	-0.32
U2AF1	0.31	-0.25	0.26
USP9X	-0.07	-0.63	0.21
WDR26	-0.07	-0.51	-0.08
WHSC1	0.05	0.04	0.01
WWC3	-0.77	-0.44	-0.17
XAGE2B	-0.18	0.41	-0.2
YTHDC1	-0.02	-0.27	0.14
ZDHHC17	-0.11	-0.11	0.16
ZEB1	0.04	-0.45	0.33
ZFYVE16	-0.13	-0.09	0.16
ZNF100	0.17	-0.19	0.43
ZNF143	-0.18	-0.03	0.16
ZNF254	0.41	-0.22	0.6
ZNF407	-0.1	0.41	-0.05
ZNF680	0.07	-0.19	0.2
ZNF704	0.12	0.21	0.13
ZZZ3	-0.16	-0.21	-0.13
