ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
10552570	0.00004154	1.15E-07	21.8784315	8.639185	5.10884295	Klk1b11
10389590	0.00004154	1.16E-07	21.8498568	8.630672	2.65390399	Gdpd1
10342299	0.00004178	1.17E-07	-21.7997291	8.615702	-3.61122971	
10435920	0.00004203	1.20E-07	21.7239375	8.592983	4.74929675	Cd200r4
10498345	0.00004203	1.21E-07	21.7178598	8.591157	3.20762021	Gpr171
10570280	0.00004311	1.25E-07	21.6065869	8.557603	4.84844017	F7
10376208	0.00004327	1.27E-07	21.5606766	8.543693	2.63277277	Gm2a
10432661	0.00004327	1.28E-07	21.5258546	8.533118	2.89233193	Galnt6
10548817	0.00004327	1.30E-07	21.478127	8.518586	3.27926163	Plbd1
10444824	0.00004327	1.30E-07	-21.4754562	8.517772	-2.87417199	H2-Q6///H2-Q8
10563597	0.00004347	1.32E-07	21.4319381	8.504484	6.25373222	Saa3
10544171	0.00004353	1.34E-07	21.3757286	8.487269	2.46775521	Slc37a3
10596303	0.00004353	1.35E-07	21.3704936	8.485662	4.00315704	Acpp
10557591	0.00004356	1.36E-07	21.3399629	8.476284	2.79763612	Itgal
10453678	0.00004393	1.38E-07	-21.2862313	8.459737	-3.12507193	Zeb1
10552587	0.00004434	1.42E-07	21.2033683	8.434114	4.13069576	Klk1b3///Klk1b4///Klk1b8///Klk1b5///Klk1b27///Klk1b24///Klk1b21///Klk1b11///Klk1///Klk1b9///Klk1b22
10558410	0.00004434	1.42E-07	21.2019605	8.433678	3.36242734	Ptpre
10453272	0.00004457	1.45E-07	21.1420309	8.415064	2.30389154	Zfp36l2
10360028	0.00004457	1.46E-07	21.1189587	8.40788	4.43632963	Fcgr2b
10376201	0.00004457	1.48E-07	21.0823352	8.396455	3.20145908	Gpx3///Gpx3
10560575	0.00004457	1.48E-07	-21.0797823	8.395658	-3.00498359	Relb
10552546	0.00004465	1.49E-07	21.0488126	8.385976	4.14583902	Klk1b3///Klk1b4///Klk1b8///Klk1b1///Klk1b5///Klk1b27///Klk1b24///Klk1b21///Klk1b11///Klk1///Klk1b7-ps///Klk1b9///Klk1b22
10371466	0.00004534	1.53E-07	-20.9758615	8.363097	-3.89514079	Syn3
10427026	0.00004543	1.55E-07	-20.9305559	8.348836	-4.3875646	Grasp
10504838	0.00004543	1.56E-07	-20.9190467	8.345208	-4.11811447	Nr4a3
10562709	0.00004624	1.60E-07	20.8403756	8.320334	4.11640045	Cd33
10381588	0.00004721	1.65E-07	20.753272	8.292654	2.36011312	Grn
10569319	0.00004825	1.70E-07	20.6587539	8.26245	3.21441181	Ctsd
10590791	0.00004825	1.72E-07	-20.6215482	8.250513	-2.82779657	Birc2
10422028	0.00004825	1.72E-07	-20.6148111	8.248348	-3.4578311	Tbc1d4
10462683	0.00004865	1.76E-07	-20.549515	8.227323	-2.90442109	Pcgf5
10487208	0.00004865	1.76E-07	20.5435159	8.225387	3.85897675	Atp8b4
10478594	0.00004958	1.81E-07	20.463403	8.199465	2.75501384	Ctsa
10407420	0.00005344	1.97E-07	-20.2104493	8.11677	-3.45862522	Net1
10401630	0.00005344	1.98E-07	20.1954706	8.111832	2.90337047	Acyp1
10532767	0.00005382	2.01E-07	-20.1523827	8.097602	-2.26725044	Ssh1
10467739	0.00005437	2.05E-07	-20.0973618	8.079376	-2.44343034	Avpi1
10416566	0.00005437	2.06E-07	-20.0788619	8.073234	-2.55291661	Epsti1
10364593	0.00005546	2.12E-07	-19.9989108	8.046607	-2.45973167	Cnn2
10379153	0.00005676	2.20E-07	19.8896304	8.009996	3.47408946	Aldoc
10603860	0.00005676	2.20E-07	19.8888471	8.009733	3.91536461	Cfp
10365845	0.00005694	2.23E-07	19.8588419	7.999636	2.45483033	Fgd6
10424676	0.00005736	2.26E-07	19.8163795	7.985315	4.55003924	Ly6e
10353524	0.00005867	2.33E-07	-19.7307583	7.956321	-2.87070005	Ogfrl1
10552743	0.00005923	2.37E-07	-19.6829568	7.940065	-4.92646126	Gm21948///Il4i1
10526520	0.00005953	2.40E-07	19.6376691	7.924619	2.22555565	Plod3
10561306	0.00005953	2.41E-07	19.6282058	7.921386	2.26554331	Pld3
10395770	0.00006151	2.53E-07	-19.4954552	7.875827	-2.35353473	1700047I17Rik2///Fam177a
10367982	0.00006482	2.68E-07	-19.3243448	7.816534	-4.84356855	Adgrg6
10359161	0.00006482	2.70E-07	19.3080782	7.810863	2.57950844	Soat1
10490923	0.00006547	2.76E-07	-19.2456844	7.789058	-2.99473759	Car2
10364030	0.00006547	2.76E-07	-19.2420332	7.78778	-2.78956341	Adora2a
10554574	0.00006681	2.84E-07	19.1663306	7.761201	3.96474607	Tm6sf1
10517517	0.0000671	2.88E-07	19.1288693	7.748	5.15555329	C1qa
10413152	0.0000671	2.89E-07	19.111789	7.741971	2.53836315	1700112E06Rik
10435907	0.0000671	2.91E-07	19.0992475	7.73754	3.93034275	Cd200r1
10481949	0.00006758	2.95E-07	-19.0613259	7.724119	-2.99248433	Traf1
10586244	0.00006805	2.99E-07	-19.0166597	7.70827	-2.51105949	Dennd4a
10490632	0.00006805	3.01E-07	-19.0017374	7.702965	-3.50440141	Helz2
10585874	0.00006805	3.03E-07	18.9866926	7.697611	2.32683889	Hexa
10363070	0.00007118	3.20E-07	18.8291352	7.641228	3.66443149	Lilr4b
10562812	0.00007195	3.26E-07	-18.7825581	7.62445	-4.28468345	Spib
10563338	0.00007209	3.29E-07	-18.7568625	7.615172	-2.55020348	Ppp1r15a
10583920	0.00007209	3.32E-07	18.7300167	7.605462	2.77650588	Eepd1
10531899	0.00007209	3.33E-07	-18.726363	7.604139	-2.33065866	Klhl8
10523134	0.00007218	3.35E-07	18.7063382	7.596884	5.91366787	Pf4
10555438	0.00007226	3.37E-07	-18.6866446	7.589739	-2.05589588	Fchsd2
10499811	0.00007266	3.41E-07	-18.6551923	7.578309	-3.90830876	Npr1
10390763	0.00007294	3.45E-07	-18.6285454	7.568608	-5.29778069	Ccr7
10500204	0.00007478	3.57E-07	18.5350258	7.534425	3.32149153	Ecm1
10536908	0.00007478	3.62E-07	-18.49703	7.520478	-2.01290497	Tspan33
10561516	0.00007478	3.63E-07	-18.4849473	7.516035	-2.08873007	Nfkbib
10404429	0.00007478	3.64E-07	-18.483504	7.515504	-5.53019172	Serpinb9
10514275	0.00007478	3.64E-07	18.4809669	7.514571	4.33097646	Hacd4
10569504	0.00007547	3.69E-07	18.4408173	7.499779	2.23864362	Tnfrsf23
10463070	0.00007895	3.89E-07	18.3037565	7.44899	3.81349984	Entpd1
10418991	0.00008477	4.25E-07	-18.0669157	7.360138	-2.1469533	Ccser2
10501860	0.00008477	4.27E-07	-18.0545029	7.355443	-4.33858308	Fnbp1l
10574213	0.00008477	4.27E-07	-18.0540687	7.355279	-4.80944428	Ccl22
10388591	0.00008487	4.30E-07	18.0361963	7.348512	3.84280956	Cpd
10451646	0.00008502	4.33E-07	18.0169013	7.341197	2.6610474	A530064D06Rik
10414360	0.00008667	4.44E-07	17.9517507	7.316428	2.14723665	Lgals3
10392808	0.00008935	4.63E-07	17.8399854	7.273686	4.24614404	Cd300ld
10386414	0.00008935	4.65E-07	17.8288856	7.269423	2.99577233	Zkscan17
10401244	0.00009033	4.73E-07	-17.7864204	7.253088	-2.20926843	Actn1
10567580	0.00009073	4.77E-07	17.7608644	7.243234	4.35538702	Igsf6
10501699	0.00009134	4.83E-07	17.7295781	7.231149	2.2333066	Agl
10465881	0.00009184	4.88E-07	17.7015346	7.220294	2.72311597	Best1
10495596	0.00009358	5.00E-07	17.6392364	7.196107	2.87465717	Frrs1
10517328	0.00009489	5.12E-07	17.5768432	7.171782	1.84579616	Tmem50a
10587854	0.00009489	5.12E-07	17.5763001	7.17157	2.65780957	Slc9a9
10564377	0.00009697	5.28E-07	-17.4994212	7.141455	-2.07569089	Lrrk1
10566585	0.00009697	5.30E-07	17.4885373	7.137179	3.18865232	Gm1966
10403871	0.00009697	5.32E-07	17.4805638	7.134044	4.81596205	Aoah///Aoah
10482929	0.00009832	5.42E-07	-17.4320667	7.114942	-3.61754733	Ly75
10490826	0.00009849	5.49E-07	-17.3990595	7.101905	-2.91721726	Zbtb10
10601993	0.00009849	5.51E-07	17.3887363	7.097822	2.32904181	D330045A20Rik
10389190	0.00009881	5.56E-07	-17.3677336	7.089506	-2.88670982	Heatr9
10490611	0.00009881	5.60E-07	-17.3477939	7.081599	-3.7398437	Ptk6
10422436	0.00009881	5.61E-07	-17.3422226	7.079388	-3.05581403	Dock9
10476021	0.00010004	5.71E-07	17.2983818	7.06196	2.41536261	Sirpa
10452613	0.00010136	5.82E-07	-17.2515462	7.043284	-3.13680016	Arhgap28
10537146	0.00010136	5.84E-07	17.2400817	7.038703	1.94873778	Akr1b8
10442932	0.00010185	5.90E-07	-17.2155366	7.028884	-2.58172861	Tmem8
10598004	0.00010389	6.05E-07	17.1532962	7.003911	4.06848591	Ccr1
10498998	0.00010391	6.08E-07	-17.1407566	6.998867	-1.97420408	D930015E06Rik
10368947	0.00010438	6.14E-07	-17.117356	6.989443	-2.9706712	Aim1
10485183	0.00010497	6.20E-07	17.091087	6.978845	1.91846941	Slc35c1
10519052	0.00010662	6.33E-07	17.0400882	6.958216	3.09281314	Fam213b
10532339	0.00010968	6.54E-07	-16.9576374	6.924711	-2.61016263	Pxmp2
10455752	0.00011158	6.68E-07	16.903158	6.902468	1.935043	Snx24
10492815	0.00011159	6.74E-07	16.8842783	6.89474	3.34004516	Tmem154
10444306	0.00011159	6.79E-07	-16.864191	6.886507	-3.59486656	H2-Eb2
10605113	0.00011159	6.82E-07	-16.8540211	6.882335	-2.80632555	L1cam
10569017	0.00011159	6.88E-07	16.8319423	6.873266	2.22693321	Ifitm3
10550956	0.00011159	6.92E-07	16.8158087	6.86663	2.1726615	Ethe1
10494978	0.00011159	6.94E-07	16.8113854	6.86481	3.33749884	Ptpn22
10575745	0.00011159	6.96E-07	-16.801457	6.860721	-2.46164384	Atmin
10363082	0.00011159	6.97E-07	16.8004906	6.860323	3.47596593	Lilrb4a
10513166	0.00011314	7.10E-07	-16.7552741	6.841667	-2.81482654	Ptpn3
10351667	0.00011464	7.22E-07	-16.7118494	6.823695	-3.06779536	Slamf1
10438340	0.00011476	7.26E-07	16.6984536	6.818139	1.92071577	Comt
10541587	0.00011487	7.30E-07	16.6850488	6.812575	4.52794922	Clec4a2///Clec4a2
10445781	0.00011511	7.38E-07	16.6584797	6.801532	3.03294752	Trem2
10504450	0.00011598	7.47E-07	-16.6291603	6.789322	-3.04871209	Glipr2
10498992	0.00011722	7.58E-07	16.5925854	6.774055	3.14801535	Tlr2
10542557	0.00011904	7.73E-07	-16.5444598	6.753907	-2.040153	Aebp2
10462587	0.00011946	7.81E-07	16.5198229	6.743566	2.19746285	Stambpl1
10453114	0.00011946	7.83E-07	-16.5150306	6.741553	-1.72856243	Dhx57
10556302	0.00012322	8.11E-07	16.4294388	6.705478	2.11057582	Ampd3
10377774	0.00012364	8.18E-07	16.407232	6.696082	6.43615729	Mgl2
10544148	0.00012364	8.21E-07	16.4006599	6.693299	1.94315155	Kdm7a
10574220	0.00012534	8.39E-07	-16.347471	6.670726	-3.55895543	Cx3cl1
10472350	0.00012658	8.51E-07	-16.3136614	6.656334	-2.54690729	Gca
10581421	0.00012801	8.64E-07	16.2767121	6.640566	1.98749062	Dpep3
10482802	0.0001292	8.76E-07	-16.2445979	6.626827	-3.34312758	Cytip
10559248	0.00012967	8.83E-07	16.2249233	6.618395	2.67856188	Tspan32
10474112	0.00012967	8.89E-07	-16.2075866	6.610955	-1.73137475	Traf6
10472514	0.00012967	8.91E-07	-16.2032354	6.609087	-2.10650225	Nostrin
10541333	0.00012967	8.94E-07	16.1965499	6.606214	2.16935565	Slc6a12
10452648	0.00013236	9.20E-07	16.1278393	6.576615	2.81390033	Emilin2
10465474	0.00013236	9.23E-07	16.118815	6.572717	1.78725295	Prdx5
10573583	0.00013471	9.43E-07	16.0674982	6.550502	2.85235916	Man2b1
10345715	0.00013574	9.54E-07	-16.0399064	6.538524	-2.50321212	Map4k4
10603182	0.00013925	9.83E-07	15.9704271	6.508258	2.35979368	Arhgap6
10542181	0.00013935	9.88E-07	15.9592442	6.503372	2.57326922	Clec9a
10481056	0.00013946	9.92E-07	15.9482264	6.498555	2.86300979	Notch1
10532150	0.00014115	1.01E-06	15.9019135	6.478265	1.75857195	Fam69a
10529445	0.00014115	1.01E-06	15.8999698	6.477412	2.29564804	Lrpap1
10500100	0.00014115	1.02E-06	15.8884231	6.472342	2.15690851	Tnfaip8l2
10368534	0.00014115	1.02E-06	-15.8831213	6.470013	-1.94441453	Ncoa7
10542981	0.00014232	1.04E-06	15.8472374	6.454224	2.10336921	Gmfg
10435704	0.00014232	1.04E-06	-15.8396148	6.450865	-2.71762805	Cd80
10497358	0.00014232	1.04E-06	15.8365788	6.449527	4.74870712	LOC100038947///Sirpb1b///Sirpb1a
10406928	0.00014232	1.04E-06	15.827738	6.445628	4.12473347	Cd180
10547153	0.00014356	1.06E-06	15.7985333	6.43273	2.03901777	Alox5
10383245	0.00014407	1.07E-06	-15.7814892	6.42519	-1.96696512	Rptor
10590957	0.00014446	1.07E-06	-15.766304	6.418465	-2.28181496	Fut4
10346882	0.00014521	1.08E-06	-15.7454348	6.40921	-4.87820854	Adam23
10500388	0.0001457	1.09E-06	-15.7195415	6.397708	-1.66420258	Polr3c
10569485	0.0001457	1.10E-06	15.7070325	6.392144	3.53006762	Tnfrsf26
10561920	0.0001457	1.10E-06	15.7029303	6.390318	2.02023095	Hcst
10583669	0.0001465	1.11E-06	15.6817125	6.380866	2.76554075	AB124611
10406905	0.00014774	1.13E-06	15.6459656	6.364908	2.82088418	Ccdc125
10596454	0.00014774	1.13E-06	15.6451097	6.364526	2.00976568	Alas1
10532711	0.00014848	1.14E-06	15.6252311	6.355633	3.32378719	Cmklr1
10511779	0.0001489	1.15E-06	15.5978446	6.343361	5.27853858	Atp6v0d2
10376060	0.0001489	1.16E-06	-15.590012	6.339847	-2.73365777	Irf1///Irf1
10384725	0.0001489	1.16E-06	-15.5851542	6.337667	-2.29009136	Rel
10603551	0.00015116	1.18E-06	15.5422738	6.318385	4.16789078	Cybb
10458028	0.00015372	1.21E-06	-15.4956663	6.29736	-1.79135786	Gypc
10500434	0.00015385	1.21E-06	-15.4821888	6.291267	-2.11129478	Bcl9
10599576	0.00015385	1.22E-06	-15.4774215	6.28911	-2.3523564	Gm14719///Ppdpf
10415392	0.00015764	1.25E-06	15.4138435	6.260276	3.65630673	Ltb4r1
10434291	0.00016335	1.30E-06	-15.3250143	6.219765	-3.63610012	B3gnt5
10488382	0.00017032	1.36E-06	15.2228075	6.172827	4.22049233	Cd93
10385513	0.00017097	1.38E-06	15.1921579	6.158682	2.82998093	9930111J21Rik1///9930111J21Rik2
10585555	0.00017097	1.38E-06	15.1905867	6.157956	1.77231619	Pstpip1
10567335	0.00017299	1.40E-06	15.1564601	6.142168	1.99547539	Gde1
10430931	0.00017309	1.41E-06	15.1473941	6.137967	3.36379254	Nfam1
10422598	0.00017341	1.41E-06	15.1355489	6.132474	4.6689215	Sepp1
10584208	0.00017426	1.43E-06	-15.1127923	6.121907	-2.38647825	Cdon
10363845	0.00017519	1.44E-06	-15.0897949	6.111211	-1.93679903	Ccdc6
10416355	0.00017548	1.45E-06	15.0785122	6.105956	3.14262105	Rcbtb2
10377826	0.00017634	1.46E-06	-15.0600811	6.097363	-2.59349343	Zmynd15
10352717	0.00017646	1.47E-06	-15.0509684	6.09311	-2.67957981	Batf3
10605370	0.00017694	1.48E-06	15.0374992	6.086819	2.66977317	Mpp1
10593668	0.00017698	1.48E-06	15.0294485	6.083056	2.68262674	Dmxl2
10444821	0.0001786	1.51E-06	-14.9927901	6.065891	-2.16583996	H2-Q5
10527638	0.0001786	1.52E-06	14.9823376	6.060989	3.48799576	Alox5ap
10522024	0.0001786	1.52E-06	-14.9810274	6.060374	-1.77160189	Tbc1d1
10411782	0.0001786	1.52E-06	-14.9772715	6.058611	-1.83935454	Pik3r1
10536499	0.0001786	1.52E-06	14.9723696	6.05631	3.70272806	Cav1
10439471	0.00017931	1.53E-06	-14.9562988	6.048759	-2.91723866	Poglut1
10414374	0.00018002	1.55E-06	-14.9353022	6.03888	-2.6052298	Ktn1
10400072	0.00018106	1.56E-06	-14.9120809	6.027936	-5.26601287	Scin
10605797	0.00018106	1.57E-06	-14.9060708	6.025101	-2.99443649	Arhgef9
10375402	0.00018218	1.58E-06	-14.885318	6.0153	-2.55684642	Adam19
10411373	0.00018617	1.62E-06	14.8306099	5.989391	1.84358751	Hexb
10505064	0.00018732	1.65E-06	14.7959794	5.972936	2.0670029	Tmem38b
10373502	0.0001891	1.67E-06	-14.7683276	5.959766	-2.61798875	Ikzf4
10580033	0.00018967	1.68E-06	14.7548001	5.953313	3.29652033	Adgre5
10600377	0.00019024	1.69E-06	14.7382801	5.945424	1.54939776	Atp6ap1
10541581	0.00019024	1.70E-06	14.7342389	5.943493	4.60364591	Clec4b1
10450226	0.00019024	1.70E-06	14.7275494	5.940294	2.11683057	Ppt2
10350102	0.00019039	1.71E-06	14.7150138	5.934297	1.76910011	Ptpn7
10363210	0.00019039	1.71E-06	-14.7104194	5.932097	-2.67424721	Pkib
10471929	0.00019039	1.72E-06	14.7054743	5.929729	2.85744474	Arhgap15
10568363	0.00019327	1.76E-06	14.6593413	5.907592	1.52995337	Armcx3
10597758	0.00019523	1.78E-06	-14.630737	5.893827	-1.85110184	Csrnp1
10506004	0.00019586	1.79E-06	-14.6170566	5.887234	-3.07694491	Hook1
10354649	0.00019592	1.80E-06	14.6078544	5.882795	3.16333343	Pgap1
10400393	0.00019592	1.80E-06	-14.6031319	5.880516	-2.21406464	Gm9802
10519140	0.00019615	1.81E-06	-14.5939738	5.876093	-2.2621096	Mmp23
10463599	0.00019721	1.82E-06	-14.5757642	5.867291	-2.27151749	Nfkb2
10420198	0.00019773	1.84E-06	14.5581449	5.858763	1.99363321	Ripk3
10549276	0.00019773	1.85E-06	14.5519458	5.85576	2.97925605	Bhlhe41
10407543	0.00019773	1.86E-06	-14.5382836	5.849136	-2.02678376	Gtpbp4
10381619	0.00019773	1.86E-06	-14.5368052	5.848418	-3.36721308	Adam11
10504206	0.00019773	1.86E-06	-14.5328591	5.846504	-2.07894291	Phf24
10402117	0.00019773	1.86E-06	-14.5311528	5.845676	-1.98509393	Rps6ka5
10453867	0.00019816	1.87E-06	-14.5200604	5.84029	-2.04657544	Rbbp8
10592067	0.00020071	1.90E-06	14.486215	5.823828	2.18665068	Fli1
10439848	0.00020178	1.92E-06	-14.4684734	5.815182	-2.59452168	Gm4827
10505517	0.00020832	2.00E-06	14.3830716	5.7734	3.9582842	Tlr4
10363195	0.00020832	2.00E-06	-14.381427	5.772593	-2.7559466	Hsf2
10377938	0.00020969	2.02E-06	-14.3612293	5.762671	-3.4789077	Eno3
10573939	0.00021121	2.04E-06	14.3396311	5.752043	3.13124591	Lpcat2
10407985	0.00021712	2.10E-06	14.273713	5.7195	3.99545749	Gpr141
10372457	0.00021712	2.11E-06	-14.268837	5.717086	-1.56857695	Tbc1d15
10349174	0.0002201	2.14E-06	14.2338842	5.699757	2.79335482	Serpinb8
10559486	0.00022039	2.15E-06	14.2249684	5.695329	2.51447098	Lair1
10541895	0.00022039	2.16E-06	14.2189422	5.692335	1.65973186	Tnfrsf1a
10360040	0.0002213	2.17E-06	14.2029319	5.684373	4.8651858	Fcgr3
10345777	0.0002213	2.18E-06	14.1974877	5.681663	3.08095681	Il1rl2
10457508	0.0002213	2.18E-06	14.1922135	5.679037	1.93356723	Npc1
10591739	0.00022266	2.21E-06	14.1673363	5.666635	3.52883571	Acp5
10550906	0.00022807	2.27E-06	14.1111408	5.638534	4.03624906	Plaur
10364841	0.00023174	2.31E-06	-14.0718095	5.618794	-1.99788897	Izumo4
10415778	0.00023464	2.36E-06	14.0322529	5.598879	2.57021549	Arl11
10349051	0.00023464	2.36E-06	-14.0291259	5.597303	-1.96857822	Tnfrsf11a
10551347	0.00023464	2.36E-06	14.028389	5.596931	2.11233647	Blvrb
